월,일자,두께,소재폭,제품폭,마진,두께그룹,폭그룹,마진그룹,강종,품명그룹,기준장력,No.,생산일,라인,생산지시번호,작업장,소재번호,소유,품명,유형,재질,Size,수량,소재중량,소재길이,제품번호,제품구분,생산중량,수율(%),Size.1,단중,중량,Gross중량,도유,장력1,스피드1,장력2,스피드2,장력3,스피드3,장력,스피드,수요가,OK,NG
2,44231,1.8,1217.5,1217.5,0.0,1.8≤t＜1.9,1200≤w＜1300,정정,일반,GI 외,430,472,20210204,STL,DP210203028,OO철강(주)XX공장,21/BAR3403B-C01,임가공,GA,Skelp,SGAPH440,1.816 x 1217.5 x C,1,13300,776.0,21/BAR3403B-P01,제품,13170,99.02,1.816 x 1217.5 x C,13170.0,13170,13300,AH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
4,44300,0.5,1551.5,1530.0,21.5,0.5≤t≤0.6,1500≤w＜1600,6mm↑,일반,GI 외,200,997,20210414,STL,DP210409166,OO철강(주)XX공장,21/BAS7349-C01,임가공,GI,Skelp,KS-SGCC,0.507 x 1551.5 x C,1,26350,4335.0,21/BAS7349-P04,제품,25990,98.63,0.507 x 1530 x C,4330.0,4330,4331,XX,247.0,122.0,285.0,155.0,262.0,143.0,265,140,OO제철(주)XX,1,0
1,44200,0.7,1346.0,1346.0,0.0,0.7≤t＜0.8,1300≤w＜1400,정정,일반,GI 외,230,6,20210104,STL,DP201230091,OO철강(주)XX공장,20/BAP9983A-C01,임가공,GA,Skelp,SGACUD,0.702 x 1346 x C,1,13810,1896.0,20/BAP9983A-P01,제품,13300,96.31,0.702 x 1346 x C,13300.0,13300,13810,AL,344.0,186.0,341.0,202.0,333.0,198.0,339,195,OO제철(주)XX,1,0
7,44403,1.3,1524.1,1308.0,216.0999999999999,1.3≤t＜1.4,1300≤w＜1400,6mm↑,60K,GI 외,350,2214,20210726,STL,DP210723090,OO철강(주)XX공장,21/CRV278C-C01,임가공,GA,Skelp,SGAFC590DP,1.394 x 1524.1 x C,1,10320,629.0,21/CRV278C-P01,제품,8830,85.56,1.394 x 1308 x C,8830.0,8830,8857,AG,288.0,101.0,292.0,103.0,295.0,98.0,292,101,OO제철(주)XX,0,1
4,44293,0.9,1147.8,1142.0,5.7999999999999545,0.9≤t＜1.0,1100≤w＜1200,6mm↓,일반,GI 외,250,928,20210407,STL,DP210405089,OO철강(주)XX공장,21/BAS5328A-C01,임가공,GI,Skelp,EN-S350GD+Z,0.957 x 1147.8 x C,1,6520,766.0,21/BAS5328A-P01,제품,6460,99.08,0.957 x 1142 x C,6460.0,6460,6487,XX,245.0,59.0,270.0,59.0,276.0,53.0,264,57,OO제철(주)XX,0,1
3,44280,0.7,1556.0,1394.0,162.0,0.7≤t＜0.8,1300≤w＜1400,6mm↑,일반,GI 외,230,812,20210325,STL,DP210323054,OO철강(주)XX공장,21/BAR0191B-C01,임가공,GA,Skelp,SGACUD,0.708 x 1556 x C,1,10440,1216.0,21/BAR0191B-P01,제품,9320,89.27,0.708 x 1394 x C,9320.0,9320,9353,AL,319.0,120.0,320.0,125.0,311.0,121.0,317,122,OO제철(주)XX,1,0
1,44222,0.8,1044.8,1040.0,4.7999999999999545,0.8≤t＜0.9,1000≤w＜1100,6mm↓,일반,GI 외,210,332,20210126,STL,DP210113037,OO철강(주)XX공장,21/BAQ5060B-C01,임가공,GA,Skelp,SGACC,0.895 x 1044.8 x C,1,8130,1122.0,21/BAQ5060B-P01,제품,8080,99.38,0.895 x 1040 x C,8080.0,8080,8093,AG,203.0,59.0,237.0,60.0,257.0,58.0,232,59,OO제철(주)XX,0,1
7,44386,2.5,1003.4,1003.4,0.0,1.9≤t＜5.0,1000≤w＜1100,정정,일반,GI 외,380,2052,20210709,STL,DP210708027,OO철강(주)XX공장,21/BAU8736A-P01,임가공,HG,Skelp,PSA-FB60,2.541 x 1003.4 x C,1,10490,529.0,21/BAU8736A-P02,제품,10480,99.9,2.541 x 1003.4 x C,10480.0,10480,10490,AH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
4,44308,0.7,1249.8,1234.0,15.799999999999956,0.7≤t＜0.8,1200≤w＜1300,6mm↑,일반,GI 외,220,1096,20210422,STL,DP210416065,OO철강(주)XX공장,21/BAT1225-C01,임가공,GA,Skelp,SGACC,0.705 x 1249.8 x C,1,28810,4242.0,21/BAT1225-P01,제품,28500,98.92,0.705 x 1234 x C,14260.0,14260,14223,AG,274.0,147.0,278.0,151.0,297.0,152.0,283,150,OO제철(주)XX,1,0
7,44382,0.6,1630.4,1538.0,92.40000000000008,0.6≤t＜0.7,1500≤w＜1600,6mm↑,일반,GI 외,230,2004,20210705,STL,DP210702091,OO철강(주)XX공장,21/BAU1888B-C01,임가공,GA,Skelp,SGACUD,0.655 x 1630.4 x C,1,19680,2396.0,21/BAU1888B-P02,제품,18550,94.26,0.655 x 1538 x C,9260.0,9260,9282,AG,200.0,59.0,300.0,137.0,293.0,133.0,264,110,OO제철(주)XX,0,1
4,44306,1.0,1237.0,1225.0,12.0,1.0≤t＜1.1,1200≤w＜1300,6mm↑,일반,GI 오일링,360,1046,20210420,STL,DP210408127,OO철강(주)XX공장,21/BAS7065-C01,임가공,GI,Skelp,JS-SGCC,1.035 x 1237 x C,1,29060,2935.0,21/BAS7065-P05,제품,28500,98.07,1.035 x 1225 x C,4760.0,4760,4796,AL,390.0,161.0,390.0,161.0,276.0,74.0,352,132,OO제철(주)XX,1,0
3,44278,3.6,1118.5,1118.5,0.0,1.9≤t＜5.0,1100≤w＜1200,정정,일반,GI 외,410,779,20210323,STL,DP210308098,OO철강(주)XX공장,21/BAS1757-C01,임가공,PO,Skelp,KS-SPHC,3.628 x 1118.5 x C,1,25460,799.0,21/BAS1757-P01,제품,24620,96.7,3.628 x 1118.5 x C,12680.0,12680,12730,AG,334.0,86.0,345.0,101.0,313.0,76.0,331,88,OO제철(주)XX,0,1
4,44300,0.5,1551.5,1530.0,21.5,0.5≤t≤0.6,1500≤w＜1600,6mm↑,일반,GI 외,200,998,20210414,STL,DP210409166,OO철강(주)XX공장,21/BAS7349-C01,임가공,GI,Skelp,KS-SGCC,0.507 x 1551.5 x C,1,26350,4335.0,21/BAS7349-P05,제품,25990,98.63,0.507 x 1530 x C,4340.0,4340,4331,XX,277.0,142.0,291.0,159.0,271.0,148.0,280,150,OO제철(주)XX,1,0
5,44340,1.7,1282.5,1282.5,0.0,1.7≤t＜1.8,1200≤w＜1300,정정,60K,GI 외,400,1631,20210524,STL,DP210521064,OO철강(주)XX공장,21/CRJ456A-C01,임가공,GA,Skelp,SGAFC590DP,1.785 x 1282.5 x C,1,13890,783.0,21/CRJ456A-P01,제품,13850,99.71,1.785 x 1282.5 x C,13850.0,13850,13890,AG,407.0,156.0,441.0,156.0,429.0,126.0,426,146,OO제철(주)XX,1,0
1,44209,0.6,890.8,870.0,20.799999999999955,0.6≤t＜0.7,800≤w＜900,6mm↑,일반,GI 오일링,200,177,20210113,STL,DP210111141,OO철강(주)XX공장,21/BAQ5406-C01,임가공,GI,Skelp,PSA-ES+Z,0.679 x 890.8 x C,1,15840,3381.0,21/BAQ5406-P01,제품,13530,85.42,0.679 x 870 x C,13530.0,13530,15470,QG,261.0,153.0,265.0,153.0,291.0,141.0,272,149,OO제철(주)XX,1,0
4,44313,1.1,1596.0,1590.0,6.0,1.1≤t＜1.2,1500≤w＜1600,6mm↑,일반,GI 오일링,410,1138,20210427,STL,DP210407160,OO철강(주)XX공장,21/BAS5823D-C01,임가공,GI,Skelp,A653-DDS/A,1.196 x 1596 x C,1,8160,557.0,21/BAS5823D-P01,제품,7700,94.36,1.196 x 1590 x C,7700.0,7700,8129,AL,249.0,60.0,270.0,59.0,291.0,58.0,270,59,OO제철(주)XX,0,1
2,44238,2.0,1207.1,1207.1,0.0,1.9≤t＜5.0,1200≤w＜1300,정정,일반,GI 외,430,488,20210211,STL,DP210211054,OO철강(주)XX공장,21/BAQ9128A-C01,임가공,GA,Skelp,SGACC,2.005 x 1207.1 x C,1,13530,721.0,21/BAQ9128A-P01,제품,13590,100.44,2.005 x 1207.1 x C,13590.0,13590,13530,AG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
2,44239,0.9,873.9,873.9,0.0,0.9≤t＜1.0,800≤w＜900,정정,일반,GI 오일링,220,519,20210212,STL,DP210211072,OO철강(주)XX공장,21/BAR3653-C01,임가공,GI,Skelp,FCA/A-CR04+Z,0.906 x 873.9 x C,1,18450,2994.0,21/BAR3653-P01,제품,18380,99.62,0.906 x 873.9 x C,18380.0,18380,18450,QG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
5,44329,0.4,1258.2,1246.0,12.200000000000044,0.4≤t≤0.5,1200≤w＜1300,6mm↑,일반,GI 외,200,1485,20210513,STL,DP210429087,OO철강(주)XX공장,21/BAT4611B-C01,임가공,GI,Skelp,A653-CS/B,0.497 x 1258.2 x C,1,26800,5564.0,21/BAT4611B-P03,제품,26540,99.03,0.497 x 1246 x C,8890.0,8890,8847,XX,238.0,135.0,256.0,162.0,244.0,151.0,246,149,OO제철(주)XX,1,0
2,44240,1.0,1179.9,1179.9,0.0,1.0≤t＜1.1,1100≤w＜1200,정정,일반,GI 외,270,527,20210213,STL,DP210212001,OO철강(주)XX공장,21/BAQ3908B-C01,임가공,CR,Skelp,SPRC440,1.006 x 1179.9 x C,1,12180,1331.0,21/BAQ3908B-P01,제품,12150,99.75,1.006 x 1179.9 x C,12150.0,12150,12180,AH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
7,44383,1.0,1310.4,1296.0,14.400000000000093,1.0≤t＜1.1,1200≤w＜1300,6mm↑,80K,GI 외,290,2019,20210706,STL,DP210705107,OO철강(주)XX공장,21/CRW041-C01,임가공,CR,Skelp,SPFC780DP,1.007 x 1310.4 x C,1,25490,2500.0,21/CRW041-P02,제품,25210,98.9,1.007 x 1296 x C,12610.0,12610,12605,AH,320.0,120.0,303.0,123.0,313.0,119.0,312,121,OO제철(주)XX,1,0
3,44263,3.0,1518.2,1501.0,17.200000000000045,1.9≤t＜5.0,1500≤w＜1600,6mm↑,일반,GI 외,430,638,20210308,STL,DP210302030,OO철강(주)XX공장,21/BAR7135-C01,임가공,PO,Skelp,EN-S355MC,3.022 x 1518.2 x C,1,24750,689.0,21/BAR7135-P01,제품,23240,93.9,3.022 x 1501 x C,23240.0,23240,24470,AG,215.0,48.0,240.0,48.0,283.0,44.0,246,47,OO제철(주)XX,0,1
